idlezione	idfoglio	idsettimana
L0001061	F0000	W0000
L0001062	F0000	W0000
L0001063	F0000	W0000
L0001064	F0000	W0000
L0001065	F0000	W0000
L0001066	F0000	W0000
L0001067	F0000	W0000
L0001068	F0000	W0000
L0001069	F0000	W0000
L0001070	F0000	W0000
L0001071	F0000	W0000
L0001072	F0000	W0000
L0001073	F0000	W0000
L0001074	F0000	W0000
L0001075	F0000	W0000
L0001076	F0000	W0000
L0001077	F0000	W0000
L0001078	F0000	W0000
L0001079	F0000	W0000
L0001080	F0000	W0000
L0001081	F0000	W0000
L0001082	F0000	W0000
L0001083	F0000	W0000
L0001084	F0000	W0000
L0001085	F0000	W0000
L0001086	F0000	W0000
L0001087	F0000	W0000
L0001088	F0000	W0000
L0001089	F0000	W0000
L0001090	F0000	W0000
L0001091	F0000	W0000
L0001092	F0000	W0000
L0001093	F0000	W0000
L0001094	F0000	W0000
L0001095	F0000	W0000
L0001096	F0000	W0000
L0001097	F0000	W0000
L0001098	F0000	W0000
L0001099	F0000	W0000
L0001100	F0000	W0000
L0001101	F0000	W0000
L0001102	F0000	W0000
L0001103	F0000	W0000
L0001104	F0000	W0000
L0001105	F0000	W0000
L0001106	F0000	W0000
L0001107	F0000	W0000
L0001108	F0000	W0000
L0001109	F0000	W0000
L0001110	F0000	W0000
L0001111	F0000	W0000
L0001112	F0000	W0000
L0001113	F0000	W0000
L0001114	F0000	W0000
L0001115	F0000	W0000
L0001116	F0000	W0000
L0001117	F0000	W0000
L0001118	F0000	W0000
L0001119	F0000	W0000
L0001120	F0000	W0000
L0001121	F0000	W0000
L0001122	F0000	W0000
L0001123	F0000	W0000
L0001124	F0000	W0000
L0001125	F0000	W0000
L0001126	F0000	W0000
L0001127	F0000	W0000
L0001128	F0000	W0000
L0001129	F0000	W0000
L0001130	F0000	W0000
L0001131	F0000	W0000
L0001132	F0000	W0000
L0001133	F0000	W0000
L0001134	F0000	W0000
L0001135	F0000	W0000
L0001136	F0000	W0000
L0001137	F0000	W0000
L0001138	F0000	W0000
L0001139	F0000	W0000
L0001140	F0000	W0000
L0001141	F0000	W0000
L0001142	F0000	W0000
L0001143	F0000	W0000
L0001144	F0000	W0000
L0001145	F0000	W0000
L0001146	F0000	W0000
L0001147	F0000	W0000
L0001148	F0000	W0000
L0001149	F0000	W0000
L0001150	F0000	W0000
L0001151	F0000	W0000
L0001152	F0000	W0000
L0001153	F0000	W0000
L0001154	F0000	W0000
L0001155	F0000	W0000
L0001156	F0000	W0000
L0001157	F0000	W0000
L0001158	F0000	W0000
L0001159	F0000	W0000
L0001160	F0000	W0000
L0001161	F0000	W0000
L0001162	F0000	W0000
L0001163	F0000	W0000
L0001164	F0000	W0000
L0001165	F0000	W0000
L0001166	F0000	W0000
L0001167	F0000	W0000
L0001168	F0000	W0000
L0001169	F0000	W0000
L0001170	F0000	W0000
L0001171	F0000	W0000
L0001172	F0000	W0000
L0001173	F0000	W0000
L0001174	F0000	W0000
L0001175	F0000	W0000
L0001176	F0000	W0000
L0001177	F0000	W0000
L0001178	F0000	W0000
L0001179	F0000	W0000
L0001180	F0000	W0000
L0001181	F0000	W0000
L0001182	F0000	W0000
L0001183	F0000	W0000
L0001184	F0000	W0000
L0001185	F0000	W0000
L0001186	F0000	W0000
L0001187	F0000	W0000
L0001188	F0000	W0000
L0001189	F0000	W0000
L0001190	F0000	W0000
L0001191	F0000	W0000
L0001192	F0000	W0000
L0001193	F0000	W0000
L0001194	F0000	W0000
L0001195	F0000	W0000
L0001196	F0000	W0000
L0001197	F0000	W0000
L0001198	F0000	W0000
L0001199	F0000	W0000
L0001200	F0000	W0000
L0001201	F0000	W0000
L0001202	F0000	W0000
L0001203	F0000	W0000
L0001204	F0000	W0000
L0001205	F0000	W0000
L0001206	F0000	W0000
L0001207	F0000	W0000
L0001208	F0000	W0000
L0001209	F0000	W0000
L0001210	F0000	W0000
L0001211	F0000	W0000
L0001212	F0000	W0000
L0001213	F0000	W0000
L0001214	F0000	W0000
L0001215	F0000	W0000
L0001216	F0000	W0000
L0001217	F0000	W0000
L0001218	F0000	W0000
L0001219	F0000	W0000
L0001220	F0000	W0000
L0001221	F0000	W0000
L0001222	F0000	W0000
L0001223	F0000	W0000
L0001224	F0000	W0000
L0001225	F0000	W0000
L0001226	F0000	W0000
L0001227	F0000	W0000
L0001228	F0000	W0000
L0001229	F0000	W0000
L0001230	F0000	W0000
L0001231	F0000	W0000
L0001232	F0000	W0000
L0001233	F0000	W0000
L0001234	F0000	W0000
L0001235	F0000	W0000
L0001236	F0000	W0000
L0001237	F0000	W0000
L0001238	F0000	W0000
L0001239	F0000	W0000
L0001240	F0000	W0000
L0001241	F0000	W0000
L0001242	F0000	W0000
L0001243	F0000	W0000
L0001244	F0000	W0000
L0001245	F0000	W0000
L0001246	F0000	W0000
L0001247	F0000	W0000
L0001248	F0000	W0000
L0001249	F0000	W0000
L0001250	F0000	W0000
L0001251	F0000	W0000
L0001252	F0000	W0000
L0001253	F0000	W0000
L0001254	F0000	W0000
L0001255	F0000	W0000
L0001256	F0000	W0000
L0001257	F0000	W0000
L0001258	F0000	W0000
L0001259	F0000	W0000
L0001260	F0000	W0000
L0001261	F0000	W0000
L0001262	F0000	W0000
L0001263	F0000	W0000
L0001264	F0000	W0000
L0001265	F0000	W0000
L0001266	F0000	W0000
L0001267	F0000	W0000
L0001268	F0000	W0000
L0001269	F0000	W0000
L0001270	F0000	W0000
L0001271	F0000	W0000
L0001272	F0000	W0000
L0001273	F0000	W0000
L0001274	F0000	W0000
L0001275	F0000	W0000
L0001276	F0000	W0000
L0001277	F0000	W0000
L0001278	F0000	W0000
L0001279	F0000	W0000
L0001280	F0000	W0000
L0001281	F0000	W0000
L0001282	F0000	W0000
L0001283	F0000	W0000
L0001284	F0000	W0000
L0001285	F0000	W0000
L0001286	F0000	W0000
L0001287	F0000	W0000
L0001288	F0000	W0000
L0001289	F0000	W0000
L0001290	F0000	W0000
L0001291	F0000	W0000
L0001292	F0000	W0000
L0001293	F0000	W0000
L0001294	F0000	W0000
L0001295	F0000	W0000
L0001296	F0000	W0000
L0001297	F0000	W0000
L0001298	F0000	W0000
L0001299	F0000	W0000
L0001300	F0000	W0000
L0001301	F0000	W0000
L0001302	F0000	W0000
L0001303	F0000	W0000
L0001304	F0000	W0000
L0001305	F0000	W0000
L0001306	F0000	W0000
L0001307	F0000	W0000
L0001308	F0000	W0000
L0001309	F0000	W0000
L0001310	F0000	W0000
L0001311	F0000	W0000
L0001312	F0000	W0000
L0001313	F0000	W0000
L0001314	F0000	W0000
L0001315	F0000	W0000
L0001316	F0000	W0000
L0001317	F0000	W0000
L0001318	F0000	W0000
L0001319	F0000	W0000
L0001320	F0000	W0000
L0001321	F0000	W0000
L0001322	F0000	W0000
L0001323	F0000	W0000
L0001324	F0000	W0000
L0001325	F0000	W0000
L0001326	F0000	W0000
L0001327	F0000	W0000
L0001328	F0000	W0000
L0001329	F0000	W0000
L0001330	F0000	W0000
L0001331	F0000	W0000
L0001332	F0000	W0000
L0001333	F0000	W0000
L0001334	F0000	W0000
L0001335	F0000	W0000
L0001336	F0000	W0000
L0001337	F0000	W0000
L0001338	F0000	W0000
L0001339	F0000	W0000
L0001340	F0000	W0000
L0001341	F0000	W0000
L0001342	F0000	W0000
L0001343	F0000	W0000
L0001344	F0000	W0000
L0001345	F0000	W0000
L0001346	F0000	W0000
L0001347	F0000	W0000
L0001348	F0000	W0000
L0001349	F0000	W0000
L0001350	F0000	W0000
L0001351	F0000	W0000
L0001352	F0000	W0000
L0001353	F0000	W0000
L0001354	F0000	W0000
L0001355	F0000	W0000
L0001356	F0000	W0000
L0001357	F0000	W0000
L0001358	F0000	W0000
L0001359	F0000	W0000
L0001360	F0000	W0000
L0001361	F0000	W0000
L0001362	F0000	W0000
L0001363	F0000	W0000
L0001364	F0000	W0000
L0001365	F0000	W0000
L0001366	F0000	W0000
L0001367	F0000	W0000
L0001368	F0000	W0000
L0001369	F0000	W0000
L0001370	F0000	W0000
L0001371	F0000	W0000
L0001372	F0000	W0000
L0001373	F0000	W0000
L0001374	F0000	W0000
L0001375	F0000	W0000
L0001376	F0000	W0000
L0001377	F0000	W0000
L0001378	F0000	W0000
L0001379	F0000	W0000
L0001380	F0000	W0000
L0001381	F0000	W0000
L0001382	F0000	W0000
L0001383	F0000	W0000
L0001384	F0000	W0000
L0001385	F0000	W0000
L0001386	F0000	W0000
L0001387	F0000	W0000
L0001388	F0000	W0000
L0001389	F0000	W0000
L0001390	F0000	W0000
L0001391	F0000	W0000
L0001392	F0000	W0000
L0001393	F0000	W0000
L0001394	F0000	W0000
L0001395	F0000	W0000
L0001396	F0000	W0000
L0001397	F0000	W0000
L0001398	F0000	W0000
L0001399	F0000	W0000
L0001400	F0000	W0000
L0001401	F0000	W0000
L0001402	F0000	W0000
L0001403	F0000	W0000
L0001404	F0000	W0000
L0001405	F0000	W0000
L0001406	F0000	W0000
L0001407	F0000	W0000
L0001408	F0000	W0000
L0001409	F0000	W0000
L0001410	F0000	W0000
L0001411	F0000	W0000
L0001412	F0000	W0000
L0001413	F0000	W0000
L0001414	F0000	W0000
L0001415	F0000	W0000
L0001416	F0000	W0000
L0001417	F0000	W0000
L0001418	F0000	W0000
L0001419	F0000	W0000
L0001420	F0000	W0000
L0001421	F0000	W0000
L0001422	F0000	W0000
L0001423	F0000	W0000
L0001424	F0000	W0000
L0001425	F0000	W0000
L0001426	F0000	W0000
L0001427	F0000	W0000
L0001428	F0000	W0000
L0001429	F0000	W0000
L0001430	F0000	W0000
L0001431	F0000	W0000
L0001432	F0000	W0000
L0001433	F0000	W0000
L0001434	F0000	W0000
L0001435	F0000	W0000
L0001436	F0000	W0000
L0001437	F0000	W0000
L0001438	F0000	W0000
L0001439	F0000	W0000
L0001440	F0000	W0000
L0001441	F0000	W0000
L0001442	F0000	W0000
L0001443	F0000	W0000
L0001444	F0000	W0000
L0001445	F0000	W0000
L0001446	F0000	W0000
L0001447	F0000	W0000
L0001448	F0000	W0000
L0001449	F0000	W0000
L0001450	F0000	W0000
L0001451	F0000	W0000
L0001452	F0000	W0000
L0001453	F0000	W0000
L0001454	F0000	W0000
L0001455	F0000	W0000
L0001456	F0000	W0000
L0001457	F0000	W0000
L0001458	F0000	W0000
L0001459	F0000	W0000
L0001460	F0000	W0000
L0001461	F0000	W0000
L0001462	F0000	W0000
L0001463	F0000	W0000
L0001464	F0000	W0000
L0001465	F0000	W0000
L0001466	F0000	W0000
L0001467	F0000	W0000
L0001468	F0000	W0000
L0001469	F0000	W0000
L0001470	F0000	W0000
L0001471	F0000	W0000
L0001472	F0000	W0000
L0001473	F0000	W0000
L0001474	F0000	W0000
L0001475	F0000	W0000
L0001476	F0000	W0000
L0001477	F0000	W0000
L0001478	F0000	W0000
L0001479	F0000	W0000
L0001480	F0000	W0000
L0001481	F0000	W0000
L0001482	F0000	W0000
L0001483	F0000	W0000
L0001484	F0000	W0000
L0001485	F0000	W0000
L0001486	F0000	W0000
L0001487	F0000	W0000
L0001488	F0000	W0000
L0001489	F0000	W0000
L0001490	F0000	W0000
L0001491	F0000	W0000
L0001492	F0000	W0000
L0001493	F0000	W0000
L0001494	F0000	W0000
L0001495	F0000	W0000
L0001496	F0000	W0000
L0001497	F0000	W0000
L0001498	F0000	W0000
L0001499	F0000	W0000
L0001500	F0000	W0000
L0001501	F0000	W0000
L0001502	F0000	W0000
L0001503	F0000	W0000
L0001504	F0000	W0000
L0001505	F0000	W0000
L0001506	F0000	W0000
L0001507	F0000	W0000
L0001508	F0000	W0000
L0001509	F0000	W0000
L0001510	F0000	W0000
L0001511	F0000	W0000
L0001512	F0000	W0000
L0001513	F0000	W0000
L0001514	F0000	W0000
L0001515	F0000	W0000
L0001516	F0000	W0000
L0001517	F0000	W0000
L0001518	F0000	W0000
L0001519	F0000	W0000
L0001520	F0000	W0000
L0001521	F0000	W0000
L0001522	F0000	W0000
L0001523	F0000	W0000
L0001524	F0000	W0000
L0001525	F0000	W0000
L0001526	F0000	W0000
L0001527	F0000	W0000
L0001528	F0000	W0000
L0001529	F0000	W0000
L0001530	F0000	W0000
L0001531	F0000	W0000
L0001532	F0000	W0000
L0001533	F0000	W0000
L0001534	F0000	W0000
L0001535	F0000	W0000
L0001536	F0000	W0000
L0001537	F0000	W0000
L0001538	F0000	W0000
L0001539	F0000	W0000
L0001540	F0000	W0000
L0001541	F0000	W0000
L0001542	F0000	W0000
L0001543	F0000	W0000
L0001544	F0000	W0000
L0001545	F0000	W0000
L0001546	F0000	W0000
L0001547	F0000	W0000
L0001548	F0000	W0000
L0001549	F0000	W0000
L0001550	F0000	W0000
L0001551	F0000	W0000
L0001552	F0000	W0000
L0001553	F0000	W0000
L0001554	F0000	W0000
L0001555	F0000	W0000
L0001556	F0000	W0000
L0001557	F0000	W0000
L0001558	F0000	W0000
L0001559	F0000	W0000
L0001560	F0000	W0000
L0001561	F0000	W0000
L0001562	F0000	W0000
L0001563	F0000	W0000
L0001564	F0000	W0000
L0001565	F0000	W0000
L0001566	F0000	W0000
L0001567	F0000	W0000
L0001568	F0000	W0000
L0001569	F0000	W0000
L0001570	F0000	W0000
L0001571	F0000	W0000
L0001572	F0000	W0000
L0001573	F0000	W0000
L0001574	F0000	W0000
L0001575	F0000	W0000
L0001576	F0000	W0000
L0001577	F0000	W0000
L0001578	F0000	W0000
L0001579	F0000	W0000
L0001580	F0000	W0000
L0001581	F0000	W0000
L0001582	F0000	W0000
L0001583	F0000	W0000
L0001584	F0000	W0000
L0001585	F0000	W0000
L0001586	F0000	W0000
L0001587	F0000	W0000
L0001588	F0000	W0000
L0001589	F0000	W0000
L0001590	F0000	W0000
L0001591	F0000	W0000
L0001592	F0000	W0000
L0001593	F0000	W0000
L0001594	F0000	W0000
L0001595	F0000	W0000
L0001596	F0000	W0000
L0001597	F0000	W0000
L0001598	F0000	W0000
L0001599	F0000	W0000
L0001600	F0000	W0000
L0001601	F0000	W0000
L0001602	F0000	W0000
L0001603	F0000	W0000
L0001604	F0000	W0000
L0001605	F0000	W0000
L0001606	F0000	W0000
L0001607	F0000	W0000
L0001608	F0000	W0000
L0001609	F0000	W0000
L0001610	F0000	W0000
L0001611	F0000	W0000
L0001612	F0000	W0000
L0001613	F0000	W0000
L0001614	F0000	W0000
L0001615	F0000	W0000
L0001616	F0000	W0000
L0001617	F0000	W0000
L0001618	F0000	W0000
L0001619	F0000	W0000
L0001620	F0000	W0000
L0001621	F0000	W0000
L0001622	F0000	W0000
L0001623	F0000	W0000
L0001624	F0000	W0000
L0001625	F0000	W0000
L0001626	F0000	W0000
L0001627	F0000	W0000
L0001628	F0000	W0000
L0001629	F0000	W0000
L0001630	F0000	W0000
L0001631	F0000	W0000
L0001632	F0000	W0000
L0001633	F0000	W0000
L0001634	F0000	W0000
L0001635	F0000	W0000
L0001636	F0000	W0000
L0001637	F0000	W0000
L0001638	F0000	W0000
L0001639	F0000	W0000
L0001640	F0000	W0000
L0001641	F0000	W0000
L0001642	F0000	W0000
L0001643	F0000	W0000
L0001644	F0000	W0000
L0001645	F0000	W0000
L0001646	F0000	W0000
L0001647	F0000	W0000
L0001648	F0000	W0000
L0001649	F0000	W0000
L0001650	F0000	W0000
L0001651	F0000	W0000
L0001652	F0000	W0000
L0001653	F0000	W0000
L0001654	F0000	W0000
L0001655	F0000	W0000
L0001656	F0000	W0000
L0001657	F0000	W0000
L0001658	F0000	W0000
L0001659	F0000	W0000
L0001660	F0000	W0000
L0001661	F0000	W0000
L0001662	F0000	W0000
L0001663	F0000	W0000
L0001664	F0000	W0000
L0001665	F0000	W0000
L0001666	F0000	W0000
L0001667	F0000	W0000
L0001668	F0000	W0000
L0001669	F0000	W0000
L0001670	F0000	W0000
L0001671	F0000	W0000
L0001672	F0000	W0000
L0001673	F0000	W0000
L0001674	F0000	W0000
L0001675	F0000	W0000
L0001676	F0000	W0000
L0001677	F0000	W0000
L0001678	F0000	W0000
L0001679	F0000	W0000
L0001680	F0000	W0000
L0001681	F0000	W0000
L0001682	F0000	W0000
L0001683	F0000	W0000
L0001684	F0000	W0000
L0001685	F0000	W0000
L0001686	F0000	W0000
L0001687	F0000	W0000
L0001688	F0000	W0000
L0001689	F0000	W0000
L0001690	F0000	W0000
L0001691	F0000	W0000
L0001692	F0000	W0000
L0001693	F0000	W0000
L0001694	F0000	W0000
L0001695	F0000	W0000
L0001696	F0000	W0000
L0001697	F0000	W0000
L0001698	F0000	W0000
L0001699	F0000	W0000
L0001700	F0000	W0000
L0001701	F0000	W0000
L0001702	F0000	W0000
L0001703	F0000	W0000
L0001704	F0000	W0000
L0001705	F0000	W0000
L0001706	F0000	W0000
L0001707	F0000	W0000
L0001708	F0000	W0000
L0001709	F0000	W0000
L0001710	F0000	W0000
L0001711	F0000	W0000
L0001712	F0000	W0000
L0001713	F0000	W0000
L0001714	F0000	W0000
L0001715	F0000	W0000
L0001716	F0000	W0000
L0001717	F0000	W0000
L0001718	F0000	W0000
L0001719	F0000	W0000
L0001720	F0000	W0000
L0001721	F0000	W0000
L0001722	F0000	W0000
L0001723	F0000	W0000
L0001724	F0000	W0000
L0001725	F0000	W0000
L0001726	F0000	W0000
L0001727	F0000	W0000
L0001728	F0000	W0000
L0001729	F0000	W0000
L0001730	F0000	W0000
L0001731	F0000	W0000
L0001732	F0000	W0000
L0001733	F0000	W0000
L0001734	F0000	W0000
L0001735	F0000	W0000
L0001736	F0000	W0000
L0001737	F0000	W0000
L0001738	F0000	W0000
L0001739	F0000	W0000
L0001740	F0000	W0000
L0001741	F0000	W0000
L0001742	F0000	W0000
L0001743	F0000	W0000
L0001744	F0000	W0000
L0001745	F0000	W0000
L0001746	F0000	W0000
L0001747	F0000	W0000
L0001748	F0000	W0000
L0001749	F0000	W0000
L0001750	F0000	W0000
L0001751	F0000	W0000
L0001752	F0000	W0000
L0001753	F0000	W0000
L0001754	F0000	W0000
L0001755	F0000	W0000
L0001756	F0000	W0000
L0001757	F0000	W0000
L0001758	F0000	W0000
L0001759	F0000	W0000
L0001760	F0000	W0000
L0001761	F0000	W0000
L0001762	F0000	W0000
L0001763	F0000	W0000
L0001764	F0000	W0000
L0001765	F0000	W0000
L0001766	F0000	W0000
L0001767	F0000	W0000
L0001768	F0000	W0000
L0001769	F0000	W0000
L0001770	F0000	W0000
L0001771	F0000	W0000
L0001772	F0000	W0000
L0001773	F0000	W0000
L0001774	F0000	W0000
L0001775	F0000	W0000
L0001776	F0000	W0000
L0001777	F0000	W0000
L0001778	F0000	W0000
L0001779	F0000	W0000
L0001780	F0000	W0000
L0001781	F0000	W0000
L0001782	F0000	W0000
L0001783	F0000	W0000
L0001784	F0000	W0000
L0001785	F0000	W0000
L0001786	F0000	W0000
L0001787	F0000	W0000
L0001788	F0000	W0000
L0001789	F0000	W0000
L0001790	F0000	W0000
L0001791	F0000	W0000
L0001792	F0000	W0000
L0001793	F0000	W0000
L0001794	F0000	W0000
L0001795	F0000	W0000
L0001796	F0000	W0000
L0001797	F0000	W0000
L0001798	F0000	W0000
L0001799	F0000	W0000
L0001800	F0000	W0000
L0001801	F0000	W0000
L0001802	F0000	W0000
L0001803	F0000	W0000
L0001804	F0000	W0000
L0001805	F0000	W0000
L0001806	F0000	W0000
L0001807	F0000	W0000
L0001808	F0000	W0000
L0001809	F0000	W0000
L0001810	F0000	W0000
L0001811	F0000	W0000
L0001812	F0000	W0000
L0001813	F0000	W0000
L0001814	F0000	W0000
L0001815	F0000	W0000
L0001816	F0000	W0000
L0001817	F0000	W0000
L0001818	F0000	W0000
L0001819	F0000	W0000
L0001820	F0000	W0000
L0001821	F0000	W0000
L0001822	F0000	W0000
L0001823	F0000	W0000
L0001824	F0000	W0000
L0001825	F0000	W0000
L0001826	F0000	W0000
L0001827	F0000	W0000
L0001828	F0000	W0000
L0001829	F0000	W0000
L0001830	F0000	W0000
L0001831	F0000	W0000
L0001832	F0000	W0000
L0001833	F0000	W0000
L0001834	F0000	W0000
L0001835	F0000	W0000
L0001836	F0000	W0000
L0001837	F0000	W0000
L0001838	F0000	W0000
L0001839	F0000	W0000
L0001840	F0000	W0000
L0001841	F0000	W0000
L0001842	F0000	W0000
L0001843	F0000	W0000
L0001844	F0000	W0000
L0001845	F0000	W0000
L0001846	F0000	W0000
L0001847	F0000	W0000
L0001848	F0000	W0000
L0001849	F0000	W0000
L0001850	F0000	W0000
L0001851	F0000	W0000
L0001852	F0000	W0000
L0001853	F0000	W0000
L0001854	F0000	W0000
L0001855	F0000	W0000
L0001856	F0000	W0000
L0001857	F0000	W0000
L0001858	F0000	W0000
L0001859	F0000	W0000
L0001860	F0000	W0000
L0001861	F0000	W0000
L0001862	F0000	W0000
L0001863	F0000	W0000
L0001864	F0000	W0000
L0001865	F0000	W0000
L0001866	F0000	W0000
L0001867	F0000	W0000
L0001868	F0000	W0000
L0001869	F0000	W0000
L0001870	F0000	W0000
L0001871	F0000	W0000
L0001872	F0000	W0000
L0001873	F0000	W0000
L0001874	F0000	W0000
L0001875	F0000	W0000
L0001876	F0000	W0000
L0001877	F0000	W0000
L0001878	F0000	W0000
L0001879	F0000	W0000
L0001880	F0000	W0000
L0001881	F0000	W0000
L0001882	F0000	W0000
L0001883	F0000	W0000
L0001884	F0000	W0000
L0001885	F0000	W0000
L0001886	F0000	W0000
L0001887	F0000	W0000
L0001888	F0000	W0000
L0001889	F0000	W0000
L0001890	F0000	W0000
L0001891	F0000	W0000
L0001892	F0000	W0000
L0001893	F0000	W0000
L0001894	F0000	W0000
L0001895	F0000	W0000
L0001896	F0000	W0000
L0001897	F0000	W0000
L0001898	F0000	W0000
L0001899	F0000	W0000
L0001900	F0000	W0000
L0001901	F0000	W0000
L0001902	F0000	W0000
L0001903	F0000	W0000
L0001904	F0000	W0000
L0001905	F0000	W0000
L0001906	F0000	W0000
L0001907	F0000	W0000
L0001908	F0000	W0000
L0001909	F0000	W0000
L0001910	F0000	W0000
L0001911	F0000	W0000
L0001912	F0000	W0000
L0001913	F0000	W0000
L0001914	F0000	W0000
L0001915	F0000	W0000
L0001916	F0000	W0000
L0001917	F0000	W0000
L0001918	F0000	W0000
L0001919	F0000	W0000
L0001920	F0000	W0000
L0001921	F0000	W0000
L0001922	F0000	W0000
L0001923	F0000	W0000
L0001924	F0000	W0000
L0001925	F0000	W0000
L0001926	F0000	W0000
L0001927	F0000	W0000
L0001928	F0000	W0000
L0001929	F0000	W0000
L0001930	F0000	W0000
L0001931	F0000	W0000
L0001932	F0000	W0000
L0001933	F0000	W0000
L0001934	F0000	W0000
L0001935	F0000	W0000
L0001936	F0000	W0000
L0001937	F0000	W0000
L0001938	F0000	W0000
L0001939	F0000	W0000
L0001940	F0000	W0000
L0001941	F0000	W0000
L0001942	F0000	W0000
L0001943	F0000	W0000
L0001944	F0000	W0000
L0001945	F0000	W0000
L0001946	F0000	W0000
L0001947	F0000	W0000
L0001948	F0000	W0000
L0001949	F0000	W0000
L0001950	F0000	W0000
L0001951	F0000	W0000
L0001952	F0000	W0000
L0001953	F0000	W0000
L0001954	F0000	W0000
L0001955	F0000	W0000
L0001956	F0000	W0000
L0001957	F0000	W0000
L0001958	F0000	W0000
L0001959	F0000	W0000
L0001960	F0000	W0000
L0001961	F0000	W0000
L0001962	F0000	W0000
L0001963	F0000	W0000
L0001964	F0000	W0000
L0001965	F0000	W0000
L0001966	F0000	W0000
L0001967	F0000	W0000
L0001968	F0000	W0000
L0001969	F0000	W0000
L0001970	F0000	W0000
L0001971	F0000	W0000
L0001972	F0000	W0000
L0001973	F0000	W0000
L0001974	F0000	W0000
L0001975	F0000	W0000
L0001976	F0000	W0000
L0001977	F0000	W0000
L0001978	F0000	W0000
L0001979	F0000	W0000
L0001980	F0000	W0000
L0001981	F0000	W0000
L0001982	F0000	W0000
L0001983	F0000	W0000
L0001984	F0000	W0000
L0001985	F0000	W0000
L0001986	F0000	W0000
L0001987	F0000	W0000
L0001988	F0000	W0000
L0001989	F0000	W0000
L0001990	F0000	W0000
L0001991	F0000	W0000
L0001992	F0000	W0000
L0001993	F0000	W0000
L0001994	F0000	W0000
L0001995	F0000	W0000
L0001996	F0000	W0000
L0001997	F0000	W0000
L0001998	F0000	W0000
L0001999	F0000	W0000
L0002000	F0000	W0000
L0002001	F0000	W0000
L0002002	F0000	W0000
L0002003	F0000	W0000
L0002004	F0000	W0000
L0002005	F0000	W0000
L0002006	F0000	W0000
L0002007	F0000	W0000
L0002008	F0000	W0000
L0002009	F0000	W0000
L0002010	F0000	W0000
L0002011	F0000	W0000
L0002012	F0000	W0000
L0002013	F0000	W0000
L0002014	F0000	W0000
L0002015	F0000	W0000
L0002016	F0000	W0000
L0002017	F0000	W0000
L0002018	F0000	W0000
L0002019	F0000	W0000
L0002020	F0000	W0000
L0002021	F0000	W0000
L0002022	F0000	W0000
L0002023	F0000	W0000
L0002024	F0000	W0000
L0002025	F0000	W0000
L0002026	F0000	W0000
L0002027	F0000	W0000
L0002028	F0000	W0000
L0002029	F0000	W0000
L0002030	F0000	W0000
L0002031	F0000	W0000
L0002032	F0000	W0000
L0002033	F0000	W0000
L0002034	F0000	W0000
L0002035	F0000	W0000
L0002036	F0000	W0000
L0002037	F0000	W0000
L0002038	F0000	W0000
L0002039	F0000	W0000
L0002040	F0000	W0000
L0002041	F0000	W0000
L0002042	F0000	W0000
L0002043	F0000	W0000
L0002044	F0000	W0000
L0002045	F0000	W0000
L0002046	F0000	W0000
L0002047	F0000	W0000
L0002048	F0000	W0000
L0002049	F0000	W0000
L0002050	F0000	W0000
L0002051	F0000	W0000
L0002052	F0000	W0000
L0002053	F0000	W0000
L0002054	F0000	W0000
L0002055	F0000	W0000
L0002056	F0000	W0000
L0002057	F0000	W0000
L0002058	F0000	W0000
L0002059	F0000	W0000
L0002060	F0000	W0000
L0002061	F0000	W0000
L0002062	F0000	W0000
L0002063	F0000	W0000
L0002064	F0000	W0000
L0002065	F0000	W0000
L0002066	F0000	W0000
L0002067	F0000	W0000
L0002068	F0000	W0000
L0002069	F0000	W0000
L0002070	F0000	W0000
L0002071	F0000	W0000
L0002072	F0000	W0000
L0002073	F0000	W0000
L0002074	F0000	W0000
L0002075	F0000	W0000
L0002076	F0000	W0000
L0002077	F0000	W0000
L0002078	F0000	W0000
L0002079	F0000	W0000
L0002080	F0000	W0000
L0002081	F0000	W0000
L0002082	F0000	W0000
L0002083	F0000	W0000
L0002084	F0000	W0000
L0002085	F0000	W0000
L0002086	F0000	W0000
L0002087	F0000	W0000
L0002088	F0000	W0000
L0002089	F0000	W0000
L0002090	F0000	W0000
L0002091	F0000	W0000
L0002092	F0000	W0000
L0002093	F0000	W0000
L0002094	F0000	W0000
L0002095	F0000	W0000
L0002096	F0000	W0000
L0002097	F0000	W0000
L0002098	F0000	W0000
L0002099	F0000	W0000
L0002100	F0000	W0000
L0002101	F0000	W0000
L0002102	F0000	W0000
L0002103	F0000	W0000
L0002104	F0000	W0000
L0002105	F0000	W0000
L0002106	F0000	W0000
L0002107	F0000	W0000
L0002108	F0000	W0000
L0002109	F0000	W0000
L0002110	F0000	W0000
L0002111	F0000	W0000
L0002112	F0000	W0000
L0002113	F0000	W0000
L0002114	F0000	W0000
L0002115	F0000	W0000
L0002116	F0000	W0000
L0002117	F0000	W0000
L0002118	F0000	W0000
L0002119	F0000	W0000
L0002120	F0000	W0000
L0002121	F0000	W0000
L0002122	F0000	W0000
L0002123	F0000	W0000
L0002124	F0000	W0000
L0002125	F0000	W0000
L0002126	F0000	W0000
L0002127	F0000	W0000
L0002128	F0000	W0000
L0002129	F0000	W0000
L0002130	F0000	W0000
L0002131	F0000	W0000
L0002132	F0000	W0000
L0002133	F0000	W0000
L0002134	F0000	W0000
L0002135	F0000	W0000
