idlezione	idfoglio	idsettimana
L0000244	F0000	W0000
L0000245	F0000	W0000
L0000246	F0000	W0000
L0000247	F0000	W0000
L0000248	F0000	W0000
L0000249	F0000	W0000
L0000250	F0000	W0000
L0000251	F0000	W0000
L0000252	F0000	W0000
L0000253	F0000	W0000
L0000254	F0000	W0000
L0000255	F0000	W0000
L0000256	F0000	W0000
L0000257	F0000	W0000
L0000258	F0000	W0000
L0000259	F0000	W0000
L0000260	F0000	W0000
L0000261	F0000	W0000
L0000262	F0000	W0000
L0000263	F0000	W0000
L0000264	F0000	W0000
L0000265	F0000	W0000
L0000266	F0000	W0000
L0000267	F0000	W0000
L0000268	F0000	W0000
L0000269	F0000	W0000
L0000270	F0000	W0000
L0000271	F0000	W0000
L0000272	F0000	W0000
L0000273	F0000	W0000
L0000274	F0000	W0000
L0000275	F0000	W0000
L0000276	F0000	W0000
L0000277	F0000	W0000
L0000278	F0000	W0000
L0000279	F0000	W0000
L0000280	F0000	W0000
L0000281	F0000	W0000
L0000282	F0000	W0000
L0000283	F0000	W0000
L0000284	F0000	W0000
L0000285	F0000	W0000
L0000286	F0000	W0000
L0000287	F0000	W0000
L0000288	F0000	W0000
L0000289	F0000	W0000
L0000290	F0000	W0000
L0000291	F0000	W0000
L0000292	F0000	W0000
L0000293	F0000	W0000
L0000294	F0000	W0000
L0000295	F0000	W0000
L0000296	F0000	W0000
L0000297	F0000	W0000
L0000298	F0000	W0000
L0000299	F0000	W0000
L0000300	F0000	W0000
L0000301	F0000	W0000
L0000302	F0000	W0000
L0000303	F0000	W0000
L0000304	F0000	W0000
L0000305	F0000	W0000
L0000306	F0000	W0000
L0000307	F0000	W0000
L0000308	F0000	W0000
L0000309	F0000	W0000
L0000310	F0000	W0000
L0000311	F0000	W0000
L0000312	F0000	W0000
L0000313	F0000	W0000
L0000314	F0000	W0000
L0000315	F0000	W0000
L0000316	F0000	W0000
L0000317	F0000	W0000
L0000318	F0000	W0000
L0000319	F0000	W0000
L0000320	F0000	W0000
L0000321	F0000	W0000
L0000322	F0000	W0000
L0000323	F0000	W0000
L0000324	F0000	W0000
L0000325	F0000	W0000
L0000326	F0000	W0000
L0000327	F0000	W0000
L0000328	F0000	W0000
L0000329	F0000	W0000
L0000330	F0000	W0000
L0000331	F0000	W0000
L0000332	F0000	W0000
L0000333	F0000	W0000
L0000334	F0000	W0000
L0000335	F0000	W0000
L0000336	F0000	W0000
L0000337	F0000	W0000
L0000338	F0000	W0000
L0000339	F0000	W0000
L0000340	F0000	W0000
L0000341	F0000	W0000
L0000342	F0000	W0000
L0000343	F0000	W0000
L0000344	F0000	W0000
L0000345	F0000	W0000
L0000346	F0000	W0000
L0000347	F0000	W0000
L0000348	F0000	W0000
L0000349	F0000	W0000
L0000350	F0000	W0000
L0000351	F0000	W0000
L0000352	F0000	W0000
L0000353	F0000	W0000
L0000354	F0000	W0000
L0000355	F0000	W0000
L0000356	F0000	W0000
L0000357	F0000	W0000
L0000358	F0000	W0000
L0000359	F0000	W0000
L0000360	F0000	W0000
L0000361	F0000	W0000
L0000362	F0000	W0000
L0000363	F0000	W0000
L0000364	F0000	W0000
L0000365	F0000	W0000
L0000366	F0000	W0000
L0000367	F0000	W0000
L0000368	F0000	W0000
L0000369	F0000	W0000
L0000370	F0000	W0000
L0000371	F0000	W0000
L0000372	F0000	W0000
L0000373	F0000	W0000
L0000374	F0000	W0000
L0000375	F0000	W0000
L0000376	F0000	W0000
L0000377	F0000	W0000
L0000378	F0000	W0000
L0000379	F0000	W0000
L0000380	F0000	W0000
L0000381	F0000	W0000
L0000382	F0000	W0000
L0000383	F0000	W0000
L0000384	F0000	W0000
L0000385	F0000	W0000
L0000386	F0000	W0000
L0000387	F0000	W0000
L0000388	F0000	W0000
L0000389	F0000	W0000
L0000390	F0000	W0000
L0000391	F0000	W0000
L0000392	F0000	W0000
L0000393	F0000	W0000
L0000394	F0000	W0000
L0000395	F0000	W0000
L0000396	F0000	W0000
L0000397	F0000	W0000
L0000398	F0000	W0000
L0000399	F0000	W0000
L0000400	F0000	W0000
L0000401	F0000	W0000
L0000402	F0000	W0000
L0000403	F0000	W0000
L0000404	F0000	W0000
L0000405	F0000	W0000
L0000406	F0000	W0000
L0000407	F0000	W0000
L0000408	F0000	W0000
L0000409	F0000	W0000
L0000410	F0000	W0000
L0000411	F0000	W0000
L0000412	F0000	W0000
L0000413	F0000	W0000
L0000414	F0000	W0000
L0000415	F0000	W0000
L0000416	F0000	W0000
L0000417	F0000	W0000
L0000418	F0000	W0000
L0000419	F0000	W0000
L0000420	F0000	W0000
L0000421	F0000	W0000
L0000422	F0000	W0000
L0000423	F0000	W0000
L0000424	F0000	W0000
L0000425	F0000	W0000
L0000426	F0000	W0000
L0000427	F0000	W0000
L0000428	F0000	W0000
L0000429	F0000	W0000
L0000430	F0000	W0000
L0000431	F0000	W0000
L0000432	F0000	W0000
L0000433	F0000	W0000
L0000434	F0000	W0000
L0000435	F0000	W0000
L0000436	F0000	W0000
L0000437	F0000	W0000
L0000438	F0000	W0000
L0000439	F0000	W0000
L0000440	F0000	W0000
L0000441	F0000	W0000
L0000442	F0000	W0000
L0000443	F0000	W0000
L0000444	F0000	W0000
L0000445	F0000	W0000
L0000446	F0000	W0000
L0000447	F0000	W0000
L0000448	F0000	W0000
L0000449	F0000	W0000
L0000450	F0000	W0000
L0000451	F0000	W0000
L0000452	F0000	W0000
L0000453	F0000	W0000
L0000454	F0000	W0000
L0000455	F0000	W0000
L0000456	F0000	W0000
L0000457	F0000	W0000
L0000458	F0000	W0000
L0000459	F0000	W0000
L0000460	F0000	W0000
L0000461	F0000	W0000
L0000462	F0000	W0000
L0000463	F0000	W0000
L0000464	F0000	W0000
L0000465	F0000	W0000
L0000466	F0000	W0000
L0000467	F0000	W0000
L0000468	F0000	W0000
L0000469	F0000	W0000
L0000470	F0000	W0000
L0000471	F0000	W0000
L0000472	F0000	W0000
L0000473	F0000	W0000
L0000474	F0000	W0000
L0000475	F0000	W0000
L0000476	F0000	W0000
L0000477	F0000	W0000
L0000478	F0000	W0000
L0000479	F0000	W0000
L0000480	F0000	W0000
L0000481	F0000	W0000
L0000482	F0000	W0000
L0000483	F0000	W0000
L0000484	F0000	W0000
L0000485	F0000	W0000
L0000486	F0000	W0000
L0000487	F0000	W0000
L0000488	F0000	W0000
L0000489	F0000	W0000
L0000490	F0000	W0000
L0000491	F0000	W0000
L0000492	F0000	W0000
L0000493	F0000	W0000
L0000494	F0000	W0000
L0000495	F0000	W0000
L0000496	F0000	W0000
L0000497	F0000	W0000
L0000498	F0000	W0000
L0000499	F0000	W0000
L0000500	F0000	W0000
L0000501	F0000	W0000
L0000502	F0000	W0000
L0000503	F0000	W0000
L0000504	F0000	W0000
L0000505	F0000	W0000
L0000506	F0000	W0000
L0000507	F0000	W0000
L0000508	F0000	W0000
L0000509	F0000	W0000
L0000510	F0000	W0000
L0000511	F0000	W0000
L0000512	F0000	W0000
L0000513	F0000	W0000
L0000514	F0000	W0000
L0000515	F0000	W0000
L0000516	F0000	W0000
L0000517	F0000	W0000
L0000518	F0000	W0000
L0000519	F0000	W0000
L0000520	F0000	W0000
L0000521	F0000	W0000
L0000522	F0000	W0000
L0000523	F0000	W0000
L0000524	F0000	W0000
L0000525	F0000	W0000
L0000526	F0000	W0000
L0000527	F0000	W0000
L0000528	F0000	W0000
L0000529	F0000	W0000
L0000530	F0000	W0000
L0000531	F0000	W0000
L0000532	F0000	W0000
L0000533	F0000	W0000
L0000534	F0000	W0000
L0000535	F0000	W0000
L0000536	F0000	W0000
L0000537	F0000	W0000
L0000538	F0000	W0000
L0000539	F0000	W0000
L0000540	F0000	W0000
L0000541	F0000	W0000
L0000542	F0000	W0000
L0000543	F0000	W0000
L0000544	F0000	W0000
L0000545	F0000	W0000
L0000546	F0000	W0000
L0000547	F0000	W0000
L0000548	F0000	W0000
L0000549	F0000	W0000
L0000550	F0000	W0000
L0000551	F0000	W0000
L0000552	F0000	W0000
L0000553	F0000	W0000
L0000554	F0000	W0000
L0000555	F0000	W0000
L0000556	F0000	W0000
L0000557	F0000	W0000
L0000558	F0000	W0000
L0000559	F0000	W0000
L0000560	F0000	W0000
L0000561	F0000	W0000
L0000562	F0000	W0000
L0000563	F0000	W0000
L0000564	F0000	W0000
L0000565	F0000	W0000
L0000566	F0000	W0000
L0000567	F0000	W0000
L0000568	F0000	W0000
L0000569	F0000	W0000
L0000570	F0000	W0000
L0000571	F0000	W0000
L0000572	F0000	W0000
L0000573	F0000	W0000
L0000574	F0000	W0000
L0000575	F0000	W0000
L0000576	F0000	W0000
L0000577	F0000	W0000
L0000578	F0000	W0000
L0000579	F0000	W0000
L0000580	F0000	W0000
L0000581	F0000	W0000
L0000582	F0000	W0000
L0000583	F0000	W0000
L0000584	F0000	W0000
L0000585	F0000	W0000
L0000586	F0000	W0000
L0000587	F0000	W0000
L0000588	F0000	W0000
L0000589	F0000	W0000
L0000590	F0000	W0000
L0000591	F0000	W0000
L0000592	F0000	W0000
L0000593	F0000	W0000
L0000594	F0000	W0000
L0000595	F0000	W0000
L0000596	F0000	W0000
L0000597	F0000	W0000
L0000598	F0000	W0000
L0000599	F0000	W0000
L0000600	F0000	W0000
L0000601	F0000	W0000
L0000602	F0000	W0000
L0000603	F0000	W0000
L0000604	F0000	W0000
L0000605	F0000	W0000
L0000606	F0000	W0000
L0000607	F0000	W0000
L0000608	F0000	W0000
L0000609	F0000	W0000
L0000610	F0000	W0000
L0000611	F0000	W0000
L0000612	F0000	W0000
L0000613	F0000	W0000
L0000614	F0000	W0000
L0000615	F0000	W0000
L0000616	F0000	W0000
L0000617	F0000	W0000
L0000618	F0000	W0000
L0000619	F0000	W0000
L0000620	F0000	W0000
L0000621	F0000	W0000
L0000622	F0000	W0000
L0000623	F0000	W0000
L0000624	F0000	W0000
L0000625	F0000	W0000
L0000626	F0000	W0000
L0000627	F0000	W0000
L0000628	F0000	W0000
L0000629	F0000	W0000
L0000630	F0000	W0000
L0000631	F0000	W0000
L0000632	F0000	W0000
L0000633	F0000	W0000
L0000634	F0000	W0000
L0000635	F0000	W0000
L0000636	F0000	W0000
L0000637	F0000	W0000
L0000638	F0000	W0000
L0000639	F0000	W0000
L0000640	F0000	W0000
L0000641	F0000	W0000
L0000642	F0000	W0000
L0000643	F0000	W0000
L0000644	F0000	W0000
L0000645	F0000	W0000
L0000646	F0000	W0000
L0000647	F0000	W0000
L0000648	F0000	W0000
L0000649	F0000	W0000
L0000650	F0000	W0000
L0000651	F0000	W0000
L0000652	F0000	W0000
L0000653	F0000	W0000
L0000654	F0000	W0000
L0000655	F0000	W0000
L0000656	F0000	W0000
L0000657	F0000	W0000
L0000658	F0000	W0000
L0000659	F0000	W0000
L0000660	F0000	W0000
L0000661	F0000	W0000
L0000662	F0000	W0000
L0000663	F0000	W0000
L0000664	F0000	W0000
L0000665	F0000	W0000
L0000666	F0000	W0000
L0000667	F0000	W0000
L0000668	F0000	W0000
L0000669	F0000	W0000
L0000670	F0000	W0000
L0000671	F0000	W0000
L0000672	F0000	W0000
L0000673	F0000	W0000
L0000674	F0000	W0000
L0000675	F0000	W0000
L0000676	F0000	W0000
L0000677	F0000	W0000
L0000678	F0000	W0000
L0000679	F0000	W0000
L0000680	F0000	W0000
L0000681	F0000	W0000
L0000682	F0000	W0000
L0000683	F0000	W0000
L0000684	F0000	W0000
L0000685	F0000	W0000
L0000686	F0000	W0000
L0000687	F0000	W0000
L0000688	F0000	W0000
L0000689	F0000	W0000
L0000690	F0000	W0000
L0000691	F0000	W0000
L0000692	F0000	W0000
L0000693	F0000	W0000
L0000694	F0000	W0000
L0000695	F0000	W0000
L0000696	F0000	W0000
L0000697	F0000	W0000
L0000698	F0000	W0000
L0000699	F0000	W0000
L0000700	F0000	W0000
L0000701	F0000	W0000
L0000702	F0000	W0000
L0000703	F0000	W0000
L0000704	F0000	W0000
L0000705	F0000	W0000
L0000706	F0000	W0000
L0000707	F0000	W0000
L0000708	F0000	W0000
L0000709	F0000	W0000
L0000710	F0000	W0000
L0000711	F0000	W0000
L0000712	F0000	W0000
L0000713	F0000	W0000
L0000714	F0000	W0000
L0000715	F0000	W0000
L0000716	F0000	W0000
L0000717	F0000	W0000
L0000718	F0000	W0000
L0000719	F0000	W0000
L0000720	F0000	W0000
L0000721	F0000	W0000
L0000722	F0000	W0000
L0000723	F0000	W0000
L0000724	F0000	W0000
L0000725	F0000	W0000
L0000726	F0000	W0000
L0000727	F0000	W0000
L0000728	F0000	W0000
L0000729	F0000	W0000
L0000730	F0000	W0000
L0000731	F0000	W0000
L0000732	F0000	W0000
L0000733	F0000	W0000
L0000734	F0000	W0000
L0000735	F0000	W0000
L0000736	F0000	W0000
L0000737	F0000	W0000
L0000738	F0000	W0000
L0000739	F0000	W0000
L0000740	F0000	W0000
L0000741	F0000	W0000
L0000742	F0000	W0000
L0000743	F0000	W0000
L0000744	F0000	W0000
L0000745	F0000	W0000
L0000746	F0000	W0000
L0000747	F0000	W0000
L0000748	F0000	W0000
L0000749	F0000	W0000
L0000750	F0000	W0000
L0000751	F0000	W0000
L0000752	F0000	W0000
L0000753	F0000	W0000
L0000754	F0000	W0000
L0000755	F0000	W0000
L0000756	F0000	W0000
L0000757	F0000	W0000
L0000758	F0000	W0000
L0000759	F0000	W0000
L0000760	F0000	W0000
L0000761	F0000	W0000
L0000762	F0000	W0000
L0000763	F0000	W0000
L0000764	F0000	W0000
L0000765	F0000	W0000
L0000766	F0000	W0000
L0000767	F0000	W0000
L0000768	F0000	W0000
L0000769	F0000	W0000
L0000770	F0000	W0000
L0000771	F0000	W0000
L0000772	F0000	W0000
L0000773	F0000	W0000
L0000774	F0000	W0000
L0000775	F0000	W0000
L0000776	F0000	W0000
L0000777	F0000	W0000
L0000778	F0000	W0000
L0000779	F0000	W0000
L0000780	F0000	W0000
L0000781	F0000	W0000
L0000782	F0000	W0000
L0000783	F0000	W0000
L0000784	F0000	W0000
L0000785	F0000	W0000
L0000786	F0000	W0000
L0000787	F0000	W0000
L0000788	F0000	W0000
L0000789	F0000	W0000
L0000790	F0000	W0000
L0000791	F0000	W0000
L0000792	F0000	W0000
L0000793	F0000	W0000
L0000794	F0000	W0000
L0000795	F0000	W0000
L0000796	F0000	W0000
L0000797	F0000	W0000
L0000798	F0000	W0000
L0000799	F0000	W0000
L0000800	F0000	W0000
L0000801	F0000	W0000
L0000802	F0000	W0000
L0000803	F0000	W0000
L0000804	F0000	W0000
L0000805	F0000	W0000
L0000806	F0000	W0000
L0000807	F0000	W0000
L0000808	F0000	W0000
L0000809	F0000	W0000
L0000810	F0000	W0000
L0000811	F0000	W0000
L0000812	F0000	W0000
L0000813	F0000	W0000
L0000814	F0000	W0000
L0000815	F0000	W0000
L0000816	F0000	W0000
L0000817	F0000	W0000
L0000818	F0000	W0000
L0000819	F0000	W0000
L0000820	F0000	W0000
L0000821	F0000	W0000
L0000822	F0000	W0000
L0000823	F0000	W0000
L0000824	F0000	W0000
L0000825	F0000	W0000
L0000826	F0000	W0000
L0000827	F0000	W0000
L0000828	F0000	W0000
L0000829	F0000	W0000
L0000830	F0000	W0000
L0000831	F0000	W0000
L0000832	F0000	W0000
L0000833	F0000	W0000
L0000834	F0000	W0000
L0000835	F0000	W0000
L0000836	F0000	W0000
L0000837	F0000	W0000
L0000838	F0000	W0000
L0000839	F0000	W0000
L0000840	F0000	W0000
L0000841	F0000	W0000
L0000842	F0000	W0000
L0000843	F0000	W0000
L0000844	F0000	W0000
L0000845	F0000	W0000
L0000846	F0000	W0000
L0000847	F0000	W0000
L0000848	F0000	W0000
L0000849	F0000	W0000
L0000850	F0000	W0000
L0000851	F0000	W0000
L0000852	F0000	W0000
L0000853	F0000	W0000
L0000854	F0000	W0000
L0000855	F0000	W0000
L0000856	F0000	W0000
L0000857	F0000	W0000
L0000858	F0000	W0000
L0000859	F0000	W0000
L0000860	F0000	W0000
